phase,assembly,item,manufacturer,part_number,qty,status,custom,critical_spec,source_url,note
G0,Bench reader,8-channel potentiostat and mux,PalmSens,EmStat4 MUX,1,RFQ,no,"8 x WE/S/RE/CE; use for amperometry, deposition, CV and EIS",https://www.palmsens.com/product/emstat4-mux/,"Mux leakage is not accepted as the potassium truth path"
G0,Bench reader,Quoted lower-cost alternative,PalmSens,C-ESPICO-MUX16,1,quoted,no,"16 switched cells; OCP supported",https://www.palmsens.com/product/oem-emstat-pico-mux16/,"10 pA/channel typical mux leakage must be measured"
G0,Bench sensor,8-cell gold screen-printed array,Metrohm DropSens,DRP-8X220AT-U20,1 pack,catalog,no,"8 independent Au WE/Au CE/Ag pseudo-RE cells; WE 2.5 mm",https://metrohm-dropsens.com/products/electrodes/screen-printed-electrodes/8x-screen-printed-gold-electrode/,"20 arrays/pack; not a shared-reference array"
G0,Bench sensor,8X connector,Metrohm DropSens,CAST8X or CAC8X,1,catalog,no,"Connector for DRP-8X format",https://metrohm-dropsens.com/products/connectors/cable-connectors/cable-connector-for-8x-format-screen-printed-electrodes/,"Confirm selected cable maps all independent three-electrode cells"
G0,Potentiometry,Electrometer evaluation board,Analog Devices,EVAL-ADA4530-1RZ,2,catalog,no,"Femtoamp input with guard",https://www.analog.com/en/resources/evaluation-hardware-and-software/evaluation-boards-kits/eval-ada4530-1.html,"Bench loading comparator before collar PCB"
G0,Potentiometry,24-bit ADC evaluation module,Texas Instruments,ADS124S08EVM,1,catalog,no,"12 analog inputs; buffered nodes only",https://www.ti.com/tool/ADS124S08EVM,"Digitizes dedicated electrometer outputs"
G0,Potentiometry,Miniature refillable Ag/AgCl reference,eDAQ,ET073-1,2,catalog,no,"65 x 2 mm PTFE body",https://edaq.com/ET073-1,"Bench reference and independent comparator"
G0,Potentiometry,High-value source simulators,Vishay / Susumu,"10 MOhm, 100 MOhm, 1 GOhm precision set",1 set,catalog,no,"Known resistance; low-leakage fixture",https://www.digikey.com/,"Acceptance fixture for input-loading error"
G0,Electrochemistry,Platinum counter electrode,BASi,MW-1032,1,catalog,no,"Pt wire auxiliary electrode",https://www.basinc.com/products/MW-1032,"External counter for shared-cell fixtures"
G1,Reader,Open-source multimodal reader,UC San Diego BioEE / PCB Minions,Biocoin v1.3,1,open-hardware,no,"26 mm diameter; 0.8 mm; 6-layer; AD5940+nRF52840",https://github.com/ProfDrewHall/Biocoin,"PCB/fixtures CERN-OHL-W-2.0; firmware/software MIT"
G1,Reader,Electrochemical AFE,Analog Devices,AD5940BCBZ-RL,1,upstream-Biocoin,no,"Amperometry/CV/DPV/SWV/EIS",https://www.analog.com/en/products/ad5940.html,"Use upstream Biocoin BOM and placement"
G1,Reader,BLE MCU module,Raytac,MDBT50Q-1MV2,1,upstream-Biocoin,no,"nRF52840 module",https://www.raytac.com/product/ins.php?index_id=81,"Use upstream antenna keepout"
G1,Reader,Low-leakage 4:1 mux,Texas Instruments,TMUX1104DQAR,1,upstream-Biocoin,no,"3 pA typical leakage",https://www.ti.com/product/TMUX1104,"Suitable for general Biocoin switching; strict ISE nodes are pre-buffered"
G1,Reader,20-position FPC connector,Molex,5034802000,1,upstream-Biocoin,no,"0.5 mm pitch FFC/FPC",https://www.molex.com/,"Existing Biocoin sensor connector"
G1,Interface daughterboard,Femtoamp buffer,Texas Instruments,LMP7721MA/NOPB,6,catalog,no,"3 fA typical input bias; SOIC-8",https://www.ti.com/product/LMP7721,"One each for Na K pH blank RE-A RE-B; no pre-buffer mux"
G1,Interface daughterboard,24-bit delta-sigma ADC,Texas Instruments,ADS124S08IPBS,1,catalog,no,"12 analog inputs; TQFP-32",https://www.ti.com/product/ADS124S08,"Reads buffered differential potentials"
G1,Interface daughterboard,Guarded full-disc PCB,qualified PCB assembler,CBM-G1-HZC-002,1,RFQ,yes,"38 mm OD; 0.8 mm; six guarded islands; four Biocoin dock footprints; controlled cleanliness",,"Fabrication package defined in 05_CUSTOM_PARTS_BUILD_SPEC.md"
G1,Biocoin interface,10-position spring header,Mill-Max,855-22-010-10-001101,2,catalog,no,"1.27 mm pitch; 6.782 mm free height; 1.397 mm stroke",https://www.mill-max.com/products/spring-loaded/pogo-pin-header-strip/855/10-001101,"Upstream-exact Biocoin docking-station part for J3/J4; 6.08 mm modeled working height"
G1,Biocoin interface,8-position spring header,Mill-Max,855-22-008-10-001101,2,catalog,no,"1.27 mm pitch; double row; same 855 stack",https://www.mill-max.com/,"Upstream-exact Biocoin docking-station part for J7/J8"
G1,Cartridge interface,12-position ultra-low-profile connector,Mill-Max,817-22-012-30-001101,1,catalog,no,"2.54 mm pitch; 2.54 mm free height; 0.61 mm full stroke",https://www.mill-max.com/sites/default/files/external/assets/2017-12/Ultra%20Low%20Profile%20Spring%20Connectors.pdf,"Modeled at 2.24 mm working height; replaces the physically incorrect 0951 choice"
G1,Power,Tabbed rechargeable coin cell,VARTA,CP1240 A4X / 63124,1,RFQ/sample,no,"3.7 V; 50 mAh; 12.1 x 4.0 mm; welded tabs",https://www.varta-ag.com/en/industry/smart-patch,"Offset shell-supported cradle; use only with charge/protection path validated for 4.30 V cell"
G1,Power,Battery harness housing,JST,ACHR-02V-S,1,catalog,no,"2-position 1.2 mm pitch housing",https://www.jst-mfg.com/product/index.php?series=477,"Mates Biocoin J1; use with SACH-003G-P0.2 contacts"
G1,Power,Battery harness crimp contact,JST,SACH-003G-P0.2,2,catalog,no,"AWG 30-28 ACH-series contact",https://media.digikey.com/pdf/Data%20Sheets/JST%20PDFs/ACH_1.2Pitch_DisconnectableCrimp.pdf,"Crimp to welded cell-tab leads; do not solder directly to cell"
G1,Power,Docking and charge reference,UC San Diego BioEE,Biocoin Docking Station v1.0,1,open-hardware,no,"Upstream schematic Gerbers BOM and placement",https://github.com/ProfDrewHall/Biocoin,"Do not improvise sealed on-body charging"
G1,Interface,Cartridge ID resistor,Vishay,0.1% thin-film resistor selected per cartridge,1,catalog,no,"Value table controlled in firmware",https://www.digikey.com/,"EEPROM is a later option"
G1,Enclosure,Fit-check shell resin,Formlabs,Tough 1500 Resin V2,as needed,catalog,no,"44 x 19 mm prototype shell and retention parts only",https://formlabs.com/store/materials/tough-1500-resin/,"Not approved by this package for tissue contact"
G1,Enclosure,Reusable shell fastener,PEEK fastener supplier,M1.6 x 6 PEEK screw,3,RFQ/sample,no,"Nonconductive reusable-shell closure; outside RF keepout",,"Final head and insert geometry set after print trials"
G1,Enclosure,Production shell resin,medical molding supplier,medical PC/ABS grade TBD,1,RFQ,yes,"Lot traceability and device-level ISO 10993 plan required",,"Material remains open until biological and sterilization strategy"
G1,Cartridge,12-net sensing flex,qualified flex PCB vendor,CBM-G1-FLEX-002,1,RFQ,yes,"36 mm OD; 25 um polyimide core; 18 um Cu; hard-gold 2x6 field at 2.54 mm pitch",,"No ENIG/nickel is exposed to the wet side"
G1,Cartridge,Open structural frame,custom converter,CBM-G1-CAR-002,1,RFQ,yes,"40 mm OD; 34 mm open field; eight 3.5 x 5.0 mm tile pockets; three latch lands",,"No solid carrier intersects flex or sensor tiles"
G1,Microneedle tile,Polystyrene,MilliporeSigma,430102,as needed,catalog,no,"Research-grade PS; paper process uses 300 mg/mL in DMF",https://www.sigmaaldrich.com/US/en/product/aldrich/430102,"Final medical grade and residual-solvent limits must be separately qualified"
G1,Microneedle mold,PDMS elastomer kit,Dow,SYLGARD 184,as needed,catalog,no,"9:1 elastomer:curing-agent process per eMPatch",https://www.dow.com/en-us/pdp.sylgard-184-silicone-elastomer-kit.01064291z.html,"Mold material; not implanted"
G1,Microneedle tile,N N-dimethylformamide,MilliporeSigma,227056,as needed,catalog,no,"ACS reagent >=99.8%",https://www.sigmaaldrich.com/US/en/product/sigald/227056,"Hazardous process solvent; residual-solvent verification required"
G1,Microneedle tile,Chromium sputter target,Kurt J. Lesker,Cr target high purity,1,RFQ,no,"10 nm adhesion layer target",https://www.lesker.com/newweb/deposition_materials/depositionmaterials_sputtertargets_1.cfm,"Thickness verified by witness coupon"
G1,Microneedle tile,Gold sputter target,Kurt J. Lesker,Au target 99.99%+,1,RFQ,no,"150 nm conductive layer target",https://www.lesker.com/newweb/deposition_materials/depositionmaterials_sputtertargets_1.cfm,"No nickel underlayer on tissue-contact electrode"
G1,Microneedle alternate,Custom 316L sensor microneedle tile,ZorayPT,ZPT-SMN-001 custom,8,RFQ,yes,"30-36G; 0.7-1.0 mm; nickel-free Au option; independent tile contacts",https://zoraypt.com/products/sensor-microneedle/,"Vendor claims are inputs; coating pinholes isolation and cytotoxicity require incoming QC"
G1,Counter,Platinum target or Pt tile,Kurt J. Lesker / custom vendor,Pt 99.99%+,1,RFQ,no,"Central counter area >= total active WE area per tested method",https://www.lesker.com/newweb/deposition_materials/depositionmaterials_sputtertargets_1.cfm,"Final area set by polarization test"
G1,Reference,Silver sputter target,Kurt J. Lesker,Ag 99.99%+,1,RFQ,no,"Silver base for RE-A and RE-B",https://www.lesker.com/newweb/deposition_materials/depositionmaterials_sputtertargets_1.cfm,"Separate fabrication lanes/lots"
G1,Reference,Ag/AgCl conductive ink,Creative Materials,113-09 or 125-20,1 kit,catalog,no,"Vendor cure schedule controls",https://www.creativematerials.com/products/ag-agcl-inks/,"Alternative to sputtered Ag/chlorination for prototypes"
G1,Reference,Polyvinyl butyral,MilliporeSigma,PVB grade to freeze,1,verify-lot,no,"Reference protection/reservoir matrix",https://www.sigmaaldrich.com/,"Release grade chosen after molecular-weight DOE"
G1,Passivation,Medical acrylic PSA on PET,Adhesives Research,ARcare 7759,1 roll/sample,RFQ/sample,no,"55 um excluding liner",https://www.adhesivesresearch.com/arcare-7759/,"Die-cut passivation; device-level biological safety still required"
